▁	76279
“	14584
”	8038
),	7973
中国	5365
)。	4872
以及	4627
政府	4547
文化	4442
中國	4403
美國	4358
包括	4335
使用	4213
世界	4169
可以	4077
日本	4068
国家	3834
其中	3657
)、	3585
▁(	3528
研究	3508
主要	3437
美国	3419
”。	3386
地区	3298
”,	3172
——	3052
人口	3035
中的	3032
▁《	2998
中央	2972
香港	2969
政治	2919
一个	2910
城市	2888
》,	2887
C	2883
▁在	2856
國家	2849
之一	2839
成为	2775
经济	2739
年出生	2731
T	2722
例如	2689
因此	2652
」,	2645
第一	2563
开始	2561
年逝世	2544
其他	2526
大学	2525
S	2502
部分	2500
民族	2466
年的	2464
成為	2411
代表	2410
全国	2394
一些	2374
P	2368
发展	2354
建立	2354
L	2343
人民	2303
社會	2295
—	2290
▁-	2269
經濟	2232
」。	2215
不同	2187
認為	2180
表示	2174
臺灣	2147
G	2137
正式	2125
▁of	2117
自然	2076
台灣	2071
上的	2056
D	2056
教育	2055
地區	2050
中心	2027
一個	2001
年代	1995
认为	1993
通过	1988
革命	1987
開始	1985
大學	1981
世纪	1973
宗教	1970
自由	1957
學家	1948
人的	1944
》(	1942
工作	1927
北京	1921
英國	1919
B	1915
發展	1895
生物	1894
时期	1891
语言	1867
支持	1865
M	1857
-{	1856
进行	1850
成立	1827
国际	1817
也是	1815
病毒	1815
作为	1788
工程	1787
社会	1786
形成	1775
中共中央	1772
他的	1768
但是	1760
思想	1759
語言	1755
主義	1752
存在	1744
的人	1722
系统	1718
上海	1711
所有	1693
方面	1682
A	1680
%,	1654
的一	1653
總統	1645
具有	1643
组织	1643
没有	1628
第二	1622
这些	1614
可能	1613
主席	1610
F	1604
细胞	1595
公司	1588
受到	1575
許多	1572
:“	1566
制度	1560
N	1550
系統	1535
运动	1532
事件	1530
法國	1521
提出	1518
管理	1515
》、《	1508
中华人民共和国	1507
▁L	1506
改革	1493
通常	1490
這些	1482
:「	1480
历史	1475
。”	1475
印度	1468
世紀	1465
%。	1464
沒有	1461
O	1457
英国	1454
一般	1453
法国	1441
战争	1438
▁C	1436
主义	1436
科学	1430
目前	1429
▁D	1416
地方	1414
由於	1407
技术	1400
增加	1397
自己	1390
影響	1385
I	1384
然而	1370
因為	1370
▁M	1370
由于	1370
重要	1369
H	1369
政策	1369
万人	1367
工业	1366
運動	1359
位于	1353
要求	1351
國際	1347
需要	1346
▁S	1346
進行	1346
方法	1342
二十	1342
也有	1338
提供	1337
同时	1333
公里	1329
都是	1325
就是	1323
这个	1319
是在	1318
皇帝	1316
民主	1311
学家	1308
E	1300
影响	1298
稱為	1297
许多	1291
▁P	1289
地球	1289
全球	1288
造成	1287
毛泽东	1283
作品	1283
太陽	1279
之后	1276
总统	1276
德国	1275
▁the	1271
Windows	1271
同時	1270
時期	1267
▁G	1264
▁B	1257
朝鲜	1252
歐洲	1251
最高	1250
铁路	1250
德國	1249
佛教	1249
使得	1248
甚至	1247
蒙古	1247
組織	1243
委员会	1242
》。	1240
人類	1236
成功	1236
基本	1232
控制	1232
会议	1224
作為	1220
任何	1216
性的	1216
所以	1215
意大利	1214
大量	1212
第三	1207
问题	1206
對於	1206
这一	1204
元素	1202
分子	1189
现代	1188
已经	1184
到了	1183
物理	1183
W	1180
之後	1178
大的	1176
他们	1175
植物	1171
文字	1169
直接	1165
得到	1163
不能	1161
中共	1160
宣布	1159
戰爭	1158
R	1157
的大	1157
只有	1152
。(	1150
平均	1148
因为	1145
活动	1145
非常	1134
▁T	1131
問題	1129
方式	1127
增长	1125
欧洲	1124
當時	1121
法律	1120
他們	1116
此外	1111
理論	1106
▁and	1105
。」	1098
}-	1098
這個	1096
歷史	1095
不同的	1093
中華民國	1093
完全	1090
成員	1089
很多	1085
当时	1085
新的	1075
利用	1068
生产	1068
通過	1067
建设	1066
发生	1064
生活	1062
期间	1062
電影	1057
音乐	1052
最大的	1052
形式	1046
並且	1044
苏联	1044
结构	1043
演員	1038
著作	1037
關係	1035
接受	1034
的是	1033
如果	1032
清朝	1032
称为	1031
方言	1027
科學	1021
定的	1019
西班牙	1013
另外	1012
理论	1009
军事	1009
根据	1007
▁R	1004
这种	998
出现	998
拥有	997
时间	995
韓國	989
学院	987
J	986
首次	985
关系	982
政治局	981
或者	979
出現	979
了一	978
現代	978
作家	977
斯特	977
共同	974
原子	974
完成	965
作用	964
程序	964
▁F	964
除了	959
数据	959
時間	958
行政	958
还有	957
获得	956
帝國	955
自己的	954
交通	953
發生	951
合作	950
地位	949
▁H	947
的主要	945
农业	945
青岛	945
,“	944
已經	944
分析	944
▁N	942
以上	942
学校	936
用于	931
朝鮮	931
巴黎	929
西方	926
委員會	925
K	924
越南	923
活動	919
不過	918
U	915
南京	913
獲得	910
”、“	909
机构	908
重新	907
两个	907
伊拉克	904
而且	902
▁=	902
()	899
大部分	899
建筑	898
;}-	897
包含	895
決定	895
▁in	894
不是	892
女性	892
天津	892
有一	891
关于	889
版本	888
hans	886
时代	884
功能	883
全國	883
之前	882
):	882
」(	880
▁|	878
一直	876
會議	876
独立	875
文件	873
同性	872
,《	870
韩国	870
长沙	868
发现	866
决定	866
直到	865
加入	865
进入	865
移民	865
子的	864
出版	864
百科	862
信仰	860
);	857
官方	855
▁W	854
歌手	854
委员	853
仍然	851
计划	846
行星	843
